"","Clade","Taxon_ID","Species_name_IUCN","Species_name","Common_name","Redlist_category","Threatened","Population_trend","Decreasing","Body_mass","Bill_length","Range_size","Elevation_min","Elevation_max","Elevation_range","Human_footprint","Migratory_status","Migratory_score","Forest_depend_status","Forest_depend_score","Hermit","Body_mass_log","Bill_length_log","Range_size_log"
"89","Emeralds","22687500","Leucippus_chlorocercus","Leucippus_chlorocercus","Olive-spotted Hummingbird","Least Concern",0,"Unknown",NA,4.6,19.55,173795.300000001,"0","400",400,8.071675718,"Not a Migrant","0","High","1","0",1.52605630349505,2.97297528643137,12.0656334488701
"90","Emeralds","22687503","Taphrospilus_hypostictus","Taphrospilus_hypostictus","Many-spotted Hummingbird","Least Concern",0,"Decreasing",1,7,25.35,110102.900000002,"0","2800",2800,18.34712756,"Not a Migrant","0","High","1","0",1.94591014905531,3.23277873003719,11.6091706620551
"91","Emeralds","22687506","Amazilia_viridicauda","Amazilia_viridicauda","Green-and-white Hummingbird","Least Concern",0,"Unknown",NA,6.1,25.38,28877.9000000005,"1000","2500",1500,16.71096712,"Not a Migrant","0","High","1","0",1.80828877117927,3.23396146228624,10.2708318756815
"92","Emeralds","22687509","Amazilia_chionogaster","Amazilia_chionogaster","White-bellied Hummingbird","Least Concern",0,"Unknown",NA,5.04,25.73,488766.500000018,"450","3500",3050,18.86317577,"Not a Migrant","0","Medium","0","0",1.61740608208328,3.24765762629365,13.0996401493027
"93","Emeralds","22687513","Amazilia_candida","Amazilia_candida","White-bellied Emerald","Least Concern",0,"Decreasing",1,3.8,18.4,429523.600000006,"0","1500",1500,32.05726552,"Not a Migrant","0","High","1","0",1.33500106673234,2.91235066461494,12.9704319665104
"94","Emeralds","22687517","Amazilia_brevirostris","Amazilia_brevirostris","White-chested Emerald","Least Concern",0,"Unknown",NA,4.3,19.63,584293.000000011,"0","500",500,13.5892034,"Not a Migrant","0","Medium","0","0",1.45861502269952,2.97705900828837,13.2781578483236
"95","Emeralds","22687525","Amazilia_versicolor","Amazilia_versicolor","Versicolored Emerald","Least Concern",0,"Unknown",NA,4.1,19.14,5113575.50000011,"0","1700",1700,17.38812646,"Not a Migrant","0","Medium","0","0",1.41098697371026,2.95178038602481,15.4474094239574
"96","Emeralds","22687529","Amazilia_luciae","Amazilia_luciae","Honduran Emerald","Endangered",1,"Decreasing",1,4.78,23,399.300000000002,"75","300",225,31.75594181,"Not a Migrant","0","Medium","0","0",1.56444054650336,3.13549421592915,5.98971301406918
"97","Emeralds","22687534","Amazilia_fimbriata","Amazilia_fimbriata","Glittering-throated Emerald","Least Concern",0,"Unknown",NA,4.9,22.33,10739828.9999997,"0","1300",1300,15.25248203,"Not a Migrant","0","Medium","0","0",1.58923520511658,3.10593106585207,16.1894697251305
"98","Emeralds","22687552","Amazilia_amabilis","Amazilia_amabilis","Blue-chested Hummingbird","Least Concern",0,"Unknown",NA,4.3,21.38,298624.399999994,"0","1400",1400,29.41925533,"Not a Migrant","0","Medium","0","0",1.45861502269952,3.0624559055969,12.6069418754172
"99","Emeralds","22687556","Amazilia_decora","Amazilia_decora","Charming Hummingbird","Least Concern",0,"Unknown",NA,4.6,24.97,13143.8,"0","1580",1580,38.39133008,"Not a Migrant","0","Medium","0","0",1.52605630349505,3.21767510429168,9.48370544353317
"100","Emeralds","22687559","Amazilia_rosenbergi","Amazilia_rosenbergi","Purple-chested Hummingbird","Least Concern",0,"Unknown",NA,3.7,23.85,67270.7000000018,"0","500",500,25.67161774,"Not a Migrant","0","High","1","0",1.30833281965018,3.17178421733435,11.1164800567928
"101","Emeralds","22687562","Amazilia_boucardi","Amazilia_boucardi","Mangrove Hummingbird","Endangered",1,"Decreasing",1,4.5,22.25,1301.8,"0","150",150,36.94704774,"Not a Migrant","0","High","1","0",1.50407739677627,3.10234200861225,7.17150320113829
"102","Emeralds","22687566","Amazilia_franciae","Amazilia_franciae","Andean Emerald","Least Concern",0,"Unknown",NA,5,26.1,247257.700000003,"400","2750",2350,26.33353282,"Not a Migrant","0","High","1","0",1.6094379124341,3.26193531432865,12.4181863915683
"103","Emeralds","22687574","Amazilia_leucogaster","Amazilia_leucogaster","Plain-bellied Emerald","Least Concern",0,"Unknown",NA,4.7,25.1,322467.499999998,"0","250",250,20.83824328,"Not a Migrant","0","Low","0","0",1.54756250871601,3.22286784613774,12.683757634946
"104","Emeralds","22687577","Amazilia_cyanocephala","Amazilia_cyanocephala","Azure-crowned Hummingbird","Least Concern",0,"Unknown",NA,5.1,23.58,304045.500000001,"300","2400",2100,32.8652391,"Not a Migrant","0","Medium","0","0",1.62924053973028,3.16039889510922,12.6249326402414
"105","Emeralds","22687583","Amazilia_beryllina","Amazilia_beryllina","Berylline Hummingbird","Least Concern",0,"Unknown",NA,4.5,22.13,607172.800000018,"0","3000",3000,31.43104084,"Not a Migrant","0","Medium","0","0",1.50407739677627,3.09693415406296,13.3165687082763
"106","Emeralds","22687587","Amazilia_cyanura","Amazilia_cyanura","Blue-tailed Hummingbird","Least Concern",0,"Unknown",NA,3.9,22.18,75348.4000000015,"0","1800",1800,37.02824203,"Not a Migrant","0","Medium","0","0",1.3609765531356,3.09919098192222,11.229877969589
"107","Emeralds","22687590","Amazilia_saucerottei","Amazilia_saucerrottei","Steely-vented Hummingbird","Least Concern",0,"Increasing",0,4.5,21.98,245060.599999993,"0","2000",2000,31.04775185,"Not a Migrant","0","Medium","0","0",1.50407739677627,3.09013294897548,12.4092608058804
"108","Emeralds","22687593","Amazilia_tobaci","Amazilia_tobaci","Copper-rumped Hummingbird","Least Concern",0,"Unknown",NA,4.7,21.48,434773.599999996,"0","1800",1800,19.48274282,"Not a Migrant","0","Medium","0","0",1.54756250871601,3.06712226964066,12.9825807148145
"109","Emeralds","22687599","Amazilia_edward","Amazilia_edward","Snowy-bellied Hummingbird","Least Concern",0,"Unknown",NA,4.7,20.8,42606.1000000018,"0","1500",1500,32.70809375,"Not a Migrant","0","Medium","0","0",1.54756250871601,3.03495298670727,10.6597527144947
"110","Emeralds","22687603","Amazilia_rutila","Amazilia_rutila","Cinnamon Hummingbird","Least Concern",0,"Unknown",NA,5.24,24.45,397526.800000019,"0","1700",1700,31.58504849,"Not a Migrant","0","Medium","0","0",1.65632149833295,3.19663021592088,12.8930176321875
"111","Emeralds","22687606","Amazilia_yucatanensis","Amazilia_yucatanensis","Buff-bellied Hummingbird","Least Concern",0,"Increasing",0,3.89,24.05,395090.799999987,"0","1500",1500,29.62547684,"Full Migrant","1","Medium","0","0",1.35840915763035,3.18013499655177,12.8868708908841
"112","Emeralds","22687618","Amazilia_amazilia","Amazilia_amazilia","Amazilia Hummingbird","Least Concern",0,"Unknown",NA,4.3,21.1,169393.200000002,"0","2700",2700,26.07179542,"Not a Migrant","0","Low","0","0",1.45861502269952,3.04927304048202,12.0399779187179
"113","Emeralds","22687624","Amazilia_violiceps","Amazilia_violiceps","Violet-crowned Hummingbird","Least Concern",0,"Unknown",NA,5.1,26.2,555727.199999976,"300","2200",1900,25.98344746,"Full Migrant","1","Medium","0","0",1.62924053973028,3.26575941076705,13.2280328053438
"114","Emeralds","22687627","Eupherusa_poliocerca","Eupherusa_poliocerca","White-tailed Hummingbird","Vulnerable",1,"Decreasing",1,4.85,21.43,3963.3,"900","2400",1500,31.48652437,"Not a Migrant","0","High","1","0",1.57897870494939,3.06479180948549,8.28483229055242
"115","Emeralds","22687632","Eupherusa_eximia","Eupherusa_eximia","Stripe-tailed Hummingbird","Least Concern",0,"Unknown",NA,4.3,19.13,174512.400000003,"800","2500",1700,34.31355357,"Altitudinal Migrant","1","High","1","0",1.45861502269952,2.95125778345216,12.0697510782719
"116","Emeralds","22687640","Eupherusa_nigriventris","Eupherusa_nigriventris","Black-bellied Hummingbird","Least Concern",0,"Unknown",NA,3.5,16.13,14338.3,"900","2000",1100,37.22006766,"Altitudinal Migrant","1","High","1","0",1.25276296849537,2.78068089213712,9.57068955761421
"117","Emeralds","22687643","Elvira_chionura","Elvira_chionura","White-tailed Emerald","Least Concern",0,"Unknown",NA,3,17.43,9597.80000000001,"1000","1700",700,38.26969291,"Not a Migrant","0","Medium","0","0",1.09861228866811,2.85819285953193,9.16928918452657
"118","Emeralds","22687646","Elvira_cupreiceps","Elvira_cupreiceps","Coppery-headed Emerald","Least Concern",0,"Unknown",NA,3,16.9,5223.19999999998,"700","1500",800,35.38509356,"Altitudinal Migrant","1","Medium","0","0",1.09861228866811,2.82731362192903,8.56086551987242
"119","Emeralds","22687649","Microchera_albocoronata","Microchera_albocoronata","Snowcap","Least Concern",0,"Decreasing",1,2.7,14.13,76810.9999999991,"300","1650",1350,30.72747717,"Altitudinal Migrant","1","High","1","0",0.993251773010283,2.64830019669644,11.2491031380461
"120","Emeralds","22687652","Chalybura_buffonii","Chalybura_buffonii","White-vented Plumeleteer","Least Concern",0,"Increasing",0,6.79,25.83,503113.699999993,"0","2000",2000,29.0622179,"Not a Migrant","0","Medium","0","0",1.9154509415706,3.25153660710775,13.1285714672754
"121","Emeralds","22687655","Chalybura_urochrysia","Chalybura_urochrysia","Bronze-tailed Plumeleteer","Least Concern",0,"Decreasing",1,6.38,26.25,208990.799999996,"0","1000",1000,28.10661927,"Not a Migrant","0","High","1","0",1.8531680973567,3.26766598903763,12.2500455108393
"122","Emeralds","22687658","Aphantochroa_cirrochloris","Aphantochroa_cirrochloris","Sombre Hummingbird","Least Concern",0,"Unknown",NA,7.7,24.87,1438336.1,"0","700",700,31.12044219,"Not a Migrant","0","Medium","0","0",2.04122032885964,3.21366225781531,14.1789975173523
"123","Mountain Gems","22687664","Lampornis_clemenciae","Lampornis_clemenciae","Blue-throated Hummingbird","Least Concern",0,"Increasing",0,7.55,28.5,496865.99999998,"500","3500",3000,24.29452602,"Full Migrant","1","High","1","0",2.02154756326093,3.3499040872746,13.1160756510191
"124","Mountain Gems","22687672","Lampornis_viridipallens","Lampornis_viridipallens","Green-throated Mountain-gem","Least Concern",0,"Decreasing",1,5.33,22.95,91757.7999999961,"900","2700",1800,36.11579146,"Not a Migrant","0","High","1","0",1.67335123817775,3.13331793650655,11.4269077759273
"125","Mountain Gems","22687680","Lampornis_hemileucus","Lampornis_hemileucus","White-bellied Mountain-gem","Least Concern",0,"Unknown",NA,5.5,23.23,9355.00000000001,"700","1400",700,37.22006766,"Altitudinal Migrant","1","High","1","0",1.70474809223843,3.14544454678232,9.14366623870819
"126","Mountain Gems","22687693","Lamprolaima_rhami","Lamprolaima_rhami","Garnet-throated Hummingbird","Least Concern",0,"Unknown",NA,7.8,21.13,137859.099999996,"1200","3000",1800,35.41528232,"Altitudinal Migrant","1","High","1","0",2.05412373369555,3.05069383162797,11.8339874280562
"127","Brilliants","22687696","Adelomyia_melanogenys","Adelomyia_melanogenys","Speckled Hummingbird","Least Concern",0,"Unknown",NA,4.93,18.51,620184.599999984,"900","2900",2000,23.37270476,"Not a Migrant","0","High","1","0",1.5953389880546,2.91831112658541,13.3377724546404
"128","Coquettes","22687703","Phlogophilus_hemileucurus","Phlogophilus_hemileucurus","Ecuadorian Piedtail","Vulnerable",1,"Decreasing",1,2.8,18.98,25433.9000000012,"500","1200",700,22.78825017,"Not a Migrant","0","High","1","0",1.02961941718116,2.94338579318178,10.1438382088281
"129","Coquettes","22687708","Phlogophilus_harterti","Phlogophilus_harterti","Peruvian Piedtail","Near Threatened",0,"Decreasing",1,2.7,18.83,33303.9999999996,"700","1500",800,15.5989918,"Not a Migrant","0","High","1","0",0.993251773010283,2.93545134266906,10.4134327888748
"130","Brilliants","22687712","Clytolaema_rubricauda","Clytolaema_rubricauda","Brazilian Ruby","Least Concern",0,"Unknown",NA,7.9,24.9,352770.799999988,"0","1500",1500,32.87142233,"Not a Migrant","0","Medium","0","0",2.06686275947298,3.21486780347066,12.7735738332495
"131","Brilliants","22687715","Heliodoxa_imperatrix","Heliodoxa_imperatrix","Empress Brilliant","Least Concern",0,"Unknown",NA,8.8,33.38,22063.3000000004,"700","2300",1600,27.65038457,"Not a Migrant","0","High","1","0",2.17475172148416,3.50795691823369,10.0016708736415
"132","Brilliants","22687718","Heliodoxa_xanthogonys","Heliodoxa_xanthogonys","Velvet-browed Brilliant","Least Concern",0,"Decreasing",1,6.99,24.18,222441.699999992,"700","2000",1300,4.814497528,"Not a Migrant","0","High","1","0",1.94448055624572,3.18552584518665,12.3124203237826
"133","Brilliants","22687721","Heliodoxa_gularis","Heliodoxa_gularis","Pink-throated Brilliant","Vulnerable",1,"Decreasing",1,6.3,28.06,22625.9999999997,"300","1100",800,25.81726916,"Not a Migrant","0","High","1","0",1.84054963339749,3.33434507467431,10.0268549664864
"134","Brilliants","22687725","Heliodoxa_branickii","Heliodoxa_branickii","Rufous-webbed Brilliant","Least Concern",0,"Decreasing",1,5.2,25.55,126780.799999999,"650","1700",1050,15.1790113,"Not a Migrant","0","High","1","0",1.64865862558738,3.24063731664971,11.7502148899618
"135","Brilliants","22687731","Heliodoxa_aurescens","Heliodoxa_aurescens","Gould's Brilliant","Least Concern",0,"Decreasing",1,6.4,25.4,3600181.59999998,"0","1400",1400,7.677039845,"Not a Migrant","0","High","1","0",1.85629799036563,3.23474917402449,15.0964948465985
"136","Brilliants","22687737","Heliodoxa_rubinoides","Heliodoxa_rubinoides","Fawn-breasted Brilliant","Least Concern",0,"Unknown",NA,7.79,27.74,203571.900000007,"1200","2600",1400,22.14216585,"Not a Migrant","0","Medium","0","0",2.05284085988266,3.32287541488669,12.2237745384164
"137","Brilliants","22687740","Heliodoxa_jacula","Heliodoxa_jacula","Green-crowned Brilliant","Least Concern",0,"Decreasing",1,8.09,26.45,63656.4999999976,"400","2000",1600,30.3045167,"Altitudinal Migrant","1","High","1","0",2.0906287310704,3.27525615830431,11.0612567197456
"138","Mountain Gems","22687746","Eugenes_fulgens","Eugenes_fulgens","Magnificent Hummingbird","Least Concern",0,"Increasing",0,8,33.35,854474.70000001,"1500","3100",1600,26.86500232,"Full Migrant","1","High","1","0",2.07944154167984,3.50705777236163,13.6582421731416
"139","Emeralds","22687749","Hylonympha_macrocerca","Hylonympha_macrocerca","Scissor-tailed Hummingbird","Endangered",1,"Decreasing",1,12.96,27.2,227.600000000001,"NA","NA",NA,40.49968261,"Not a Migrant","0","High","1","0",2.56186769092413,3.30321697330195,5.42758970225218
"140","Emeralds","22687753","Sternoclyta_cyanopectus","Sternoclyta_cyanopectus","Violet-chested Hummingbird","Least Concern",0,"Unknown",NA,8,33.83,40401.0000000019,"700","2000",1300,31.36940786,"Not a Migrant","0","High","1","0",2.07944154167984,3.52134798279262,10.6066098161182
"141","Topazes","22687756","Topaza_pyra","Topaza_pyra","Fiery Topaz","Least Concern",0,"Decreasing",1,12.11,30.45,2026634.79999998,"0","750",750,6.552123631,"Not a Migrant","0","High","1","0",2.494031557565,3.41608599415591,14.5218872414664
"142","Topazes","22687759","Topaza_pella","Topaza_pella","Crimson Topaz","Least Concern",0,"Decreasing",1,12.11,30.3,1678434.39999994,"0","500",500,9.005225002,"Not a Migrant","0","High","1","0",2.494031557565,3.41114771251532,14.3333720121243
"143","Brilliants","22687762","Oreotrochilus_chimborazo","Oreotrochilus_chimborazo","Ecuadorian Hillstar","Least Concern",0,"Stable",0,8.2,24.38,36894.4000000015,"3500","5200",1700,26.58465976,"Altitudinal Migrant","1","Non-forest","0","0",2.10413415427021,3.19376312405313,10.5158150569941
"144","Brilliants","22687768","Oreotrochilus_leucopleurus","Oreotrochilus_leucopleurus","White-sided Hillstar","Least Concern",0,"Stable",0,8.15,24.18,404051.699999993,"1200","4000",2800,17.28421665,"Not a Migrant","0","Non-forest","0","0",2.09801792725277,3.18552584518665,12.9092981190528
"145","Brilliants","22687771","Oreotrochilus_melanogaster","Oreotrochilus_melanogaster","Black-breasted Hillstar","Least Concern",0,"Stable",0,9.1,23.35,55336.700000001,"3500","4400",900,23.26336474,"Not a Migrant","0","Non-forest","0","0",2.2082744135228,3.15059698411491,10.9211916201932
"146","Brilliants","22687774","Oreotrochilus_adela","Oreotrochilus_adela","Wedge-tailed Hillstar","Near Threatened",0,"Decreasing",1,7.85,32.08,50643.6000000013,"2600","4000",1400,21.08187626,"Not a Migrant","0","Low","0","0",2.06051353179432,3.46823278299831,10.8325681443387
"147","Patagona","22687785","Patagona_gigas","Patagona_gigas","Giant Hummingbird","Least Concern",0,"Stable",0,20.2,45.88,1270464.70000001,"2000","4800",2800,19.55224673,"Full Migrant","1","Low","0","0",3.00568260440716,3.82602929226117,14.0548932970195
"148","Brilliants","22687788","Aglaeactis_cupripennis","Aglaeactis_cupripennis","Shining Sunbeam","Least Concern",0,"Stable",0,7.6,22.49,224851.799999999,"2200","4600",2400,24.14537912,"Altitudinal Migrant","1","Low","0","0",2.02814824729229,3.11307076597122,12.3231967975037
"149","Brilliants","22687794","Aglaeactis_aliciae","Aglaeactis_aliciae","Purple-backed Sunbeam","Endangered",1,"Decreasing",1,7.8,19.93,182.7,"3000","3200",200,19.2146559,"Not a Migrant","0","Non-forest","0","0",2.05412373369555,2.9922261342247,5.20784546338396
"150","Brilliants","22687798","Aglaeactis_pamela","Aglaeactis_pamela","Black-hooded Sunbeam","Least Concern",0,"Stable",0,5.5,22.25,16549.6,"3000","3500",500,23.8186612,"Altitudinal Migrant","1","Low","0","0",1.70474809223843,3.10234200861225,9.71411721132884
"151","Brilliants","22687801","Lafresnaya_lafresnayi","Lafresnaya_lafresnayi","Mountain Velvetbreast","Least Concern",0,"Stable",0,5.3,30.72,312914.899999987,"1800","3600",1800,25.17744808,"Altitudinal Migrant","1","Medium","0","0",1.66770682055808,3.42491390827947,12.6536865475708
"152","Brilliants","22687804","Pterophanes_cyanopterus","Pterophanes_cyanopterus","Great Sapphirewing","Least Concern",0,"Stable",0,9.25,37.97,232558.299999995,"2600","3700",1100,24.34813718,"Not a Migrant","0","Medium","0","0",2.22462355152433,3.63679637424371,12.3568962252645
"153","Brilliants","22687807","Coeligena_coeligena","Coeligena_coeligena","Bronzy Inca","Least Concern",0,"Stable",0,6.8,37.92,384688.499999992,"400","2600",2200,24.4337766,"Not a Migrant","0","Medium","0","0",1.91692261218206,3.63547867738682,12.8601891948701
"154","Brilliants","22687810","Coeligena_wilsoni","Coeligena_wilsoni","Brown Inca","Least Concern",0,"Decreasing",1,6.7,33.73,34158.9000000007,"700","2400",1700,26.83298089,"Not a Migrant","0","High","1","0",1.90210752639692,3.51838764907356,10.4387784459789
"155","Brilliants","22687813","Coeligena_prunellei","Coeligena_prunellei","Black Inca","Vulnerable",1,"Decreasing",1,6.98,31.95,6383.00000000001,"1600","2700",1100,33.35559178,"Not a Migrant","0","High","1","0",1.94304891677428,3.46417218082354,8.76139348525606
"156","Brilliants","22687834","Coeligena_helianthea","Coeligena_helianthea","Blue-throated Starfrontlet","Least Concern",0,"Unknown",NA,6.64,36.15,42112.9000000014,"1900","3300",1400,32.33384143,"Not a Migrant","0","Medium","0","0",1.89311196348834,3.58767694860477,10.6481093860372
"157","Brilliants","22687837","Coeligena_lutetiae","Coeligena_lutetiae","Buff-winged Starfrontlet","Least Concern",0,"Decreasing",1,7.29,41.41,63339.500000002,"2600","3700",1100,27.13257494,"Not a Migrant","0","High","1","0",1.98650354602057,3.72352239755748,11.0562644261556
"158","Brilliants","22687847","Coeligena_iris","Coeligena_iris","Rainbow Starfrontlet","Least Concern",0,"Decreasing",1,6.9,37.13,80713.7999999966,"1700","4000",2300,23.75412791,"Not a Migrant","0","Medium","0","0",1.93152141160321,3.61442526818899,11.298664843356
"159","Brilliants","22687854","Ensifera_ensifera","Ensifera_ensifera","Sword-billed Hummingbird","Least Concern",0,"Stable",0,11.2,98.55,398274.900000012,"1700","3600",1900,23.38863656,"Altitudinal Migrant","1","High","1","0",2.41591377830105,4.59056403359873,12.8948977493583
"160","Coquettes","22687857","Sephanoides_sephaniodes","Sephanoides_sephaniodes","Green-backed Firecrown","Least Concern",0,"Decreasing",1,5.17,22.25,554268.699999985,"0","2000",2000,15.55689834,"Full Migrant","1","Medium","0","0",1.64287268852034,3.10234200861225,13.2254048661967
"161","Brilliants","22687868","Boissonneaua_flavescens","Boissonneaua_flavescens","Buff-tailed Coronet","Least Concern",0,"Unknown",NA,8.2,20.7,128711.6,"1500","3600",2100,26.83293949,"Not a Migrant","0","High","1","0",2.10413415427021,3.03013370027132,11.7653295216127
"162","Brilliants","22687871","Boissonneaua_matthewsii","Boissonneaua_matthewsii","Chestnut-breasted Coronet","Least Concern",0,"Unknown",NA,7.7,23.29,127439.999999996,"1200","3300",2100,21.83322014,"Not a Migrant","0","High","1","0",2.04122032885964,3.14802408389625,11.7554009445839
"163","Coquettes","22687877","Heliangelus_mavors","Heliangelus_mavors","Orange-throated Sunangel","Least Concern",0,"Stable",0,4.2,17.8,38610.6000000008,"1500","3200",1700,31.19019521,"Not a Migrant","0","Medium","0","0",1.43508452528932,2.87919845729804,10.5612821291531
"164","Coquettes","22687890","Heliangelus_strophianus","Heliangelus_strophianus","Gorgeted Sunangel","Least Concern",0,"Decreasing",1,5.5,17.1,9555.1,"2000","3200",1200,28.55299933,"Not a Migrant","0","High","1","0",1.70474809223843,2.83907846350861,9.16483032234436
"165","Coquettes","22687898","Heliangelus_viola","Heliangelus_viola","Purple-throated Sunangel","Least Concern",0,"Stable",0,5.4,19.34,35976.7999999992,"1000","3200",2200,24.48436962,"Not a Migrant","0","Medium","0","0",1.68639895357023,2.96217549002515,10.4906295652502
"166","Coquettes","22687901","Heliangelus_regalis","Heliangelus_regalis","Royal Sunangel","Endangered",1,"Decreasing",1,3.6,18.35,3514.4,"1350","2200",850,17.42228414,"Not a Migrant","0","Medium","0","0",1.28093384546206,2.90962957450058,8.16462409266157
"167","Brilliants","22687909","Eriocnemis_nigrivestis","Eriocnemis_nigrivestis","Black-breasted Puffleg","Critically Endangered",1,"Decreasing",1,4.45,19.3,77.8999999999998,"2745","4570",1825,29.97730102,"Not a Migrant","0","High","1","0",1.49290409617815,2.96010509591084,4.3554259528767
"168","Brilliants","22687914","Eriocnemis_vestita","Eriocnemis_vestita","Glowing Puffleg","Least Concern",0,"Stable",0,4.54,22.26,97835.399999998,"2300","3850",1550,28.45887708,"Not a Migrant","0","Medium","0","0",1.51292701205326,3.1027913458474,11.4910417537202
"169","Brilliants","22687922","Eriocnemis_godini","Eriocnemis_godini","Turquoise-throated Puffleg","Critically Endangered",1,"Unknown",NA,5.06,23.37,NA,"2100","2300",200,NA,"Not a Migrant","0","High","1","0",1.62136648329937,3.15145314855077,NA
"170","Brilliants","22687930","Eriocnemis_cupreoventris","Eriocnemis_cupreoventris","Coppery-bellied Puffleg","Near Threatened",0,"Decreasing",1,5.3,20.7,49722.4999999999,"2000","3000",1000,29.6913083,"Not a Migrant","0","Medium","0","0",1.66770682055808,3.03013370027132,10.8142128259374
"171","Brilliants","22687936","Eriocnemis_glaucopoides","Eriocnemis_glaucopoides","Blue-capped Puffleg","Least Concern",0,"Stable",0,3.7,24.95,57133.6999999998,"1500","3400",1900,19.7009301,"Not a Migrant","0","Medium","0","0",1.30833281965018,3.21687382219753,10.9531494141934
"172","Brilliants","22687944","Eriocnemis_aline","Eriocnemis_alinae","Emerald-bellied Puffleg","Least Concern",0,"Decreasing",1,4.24,18.05,68341.9000000033,"1000","2700",1700,23.86122349,"Not a Migrant","0","High","1","0",1.44456326924387,2.89314568477889,11.1322783274485
"173","Brilliants","22687947","Eriocnemis_derbyi","Eriocnemis_derbyi","Black-thighed Puffleg","Near Threatened",0,"Decreasing",1,5.06,21.88,24534.6999999989,"2800","3650",850,28.65798937,"Altitudinal Migrant","1","Medium","0","0",1.62136648329937,3.08557297755378,10.107843721019
"174","Brilliants","22687957","Haplophaedia_lugens","Haplophaedia_lugens","Hoary Puffleg","Near Threatened",0,"Decreasing",1,6.9,19.2,4915.20000000001,"1200","2200",1000,28.61644554,"Not a Migrant","0","High","1","0",1.93152141160321,2.95491027903374,8.5000877235133
"175","Brilliants","22687965","Urosticte_ruficrissa","Urosticte_ruficrissa","Rufous-vented Whitetip","Least Concern",0,"Decreasing",1,4.3,23,31247.6000000007,"1300","2300",1000,22.33514259,"Not a Migrant","0","High","1","0",1.45861502269952,3.13549421592915,10.3496978522153
"176","Brilliants","22687968","Ocreatus_underwoodii","Ocreatus_underwoodii","Booted Racket-tail","Least Concern",0,"Stable",0,3,19.19,385606.199999985,"600","4000",3400,23.54835303,"Altitudinal Migrant","1","High","1","0",1.09861228866811,2.95438931001961,12.8625719204274
"177","Brilliants","22687971","Lesbia_victoriae","Lesbia_victoriae","Black-tailed Trainbearer","Least Concern",0,"Stable",0,5,18.28,197468.399999991,"2300","4100",1800,24.92883471,"Not a Migrant","0","Medium","0","0",1.6094379124341,2.905807566026,12.1933338505219
